LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,eyesC
853.4987107,0.253167013,360.5392851,0.153939031,458.1457961,1.514302367,365.0334897,0.771225595,328.7424016,0.26477731,906.9942097,0.054593484,607.0189979,411.5896429,617.8683057,669.5285123,322.7859181,716.0025938,932.8869357,401.7703151,824.3256528,704.2207509,516.3037141,773.9898073,553.0748744,498.9745816,755.449246,567.7472252,390.3290829,760.9565558,1
956.6837626,2.184442668,425.5917896,0.700734333,397.7280361,-0.215854729,414.6765735,-0.00916489,357.8955902,-1.616220922,871.6931088,-0.696768346,691.1377761,406.2023048,614.7943495,607.0189979,411.5896429,617.8683057,669.5285123,322.7859181,716.0025938,932.8869357,401.7703151,824.3256528,704.2207509,516.3037141,773.9898073,553.0748744,498.9745816,755.449246,1
913.460092,1.315152308,445.0384365,-0.66242409,471.6499294,-0.859040126,443.9393497,0.192850703,341.7246466,1.337448472,904.0208084,1.361609207,679.2492642,457.7946395,622.8727275,691.1377761,406.2023048,614.7943495,607.0189979,411.5896429,617.8683057,669.5285123,322.7859181,716.0025938,932.8869357,401.7703151,824.3256528,704.2207509,516.3037141,773.9898073,1
968.4702399,0.868173446,473.9871863,-0.005802629,474.0411699,0.643363151,406.8931166,-0.066144926,315.5789153,0.555192172,903.4444624,0.559297591,721.2287131,440.4671432,609.5116889,679.2492642,457.7946395,622.8727275,691.1377761,406.2023048,614.7943495,607.0189979,411.5896429,617.8683057,669.5285123,322.7859181,716.0025938,932.8869357,401.7703151,824.3256528,1
612.0848963,0.087449467,505.494317,0.519788997,445.8169293,0.178819576,399.8696901,0.640144741,276.5694017,0.728523553,845.9605453,0.411061656,558.7896067,422.8433097,561.2649735,721.2287131,440.4671432,609.5116889,679.2492642,457.7946395,622.8727275,691.1377761,406.2023048,614.7943495,607.0189979,411.5896429,617.8683057,669.5285123,322.7859181,716.0025938,1
364.311588,-1.797086201,469.7672752,1.13911158,437.9302405,-0.511763363,490.4473696,0.150465137,352.0099217,0.393568148,968.2423697,0.653357181,417.0394316,464.1888051,660.1261457,558.7896067,422.8433097,561.2649735,721.2287131,440.4671432,609.5116889,679.2492642,457.7946395,622.8727275,691.1377761,406.2023048,614.7943495,607.0189979,411.5896429,617.8683057,1
483.4459556,-1.77511569,385.0755913,1.453516621,529.0102376,-0.509363219,441.441154,0.319935082,412.0844199,0.291877668,1179.901002,0.818758174,434.2607735,485.2256958,795.9927109,417.0394316,464.1888051,660.1261457,558.7896067,422.8433097,561.2649735,721.2287131,440.4671432,609.5116889,679.2492642,457.7946395,622.8727275,691.1377761,406.2023048,614.7943495,1
494.6685633,-0.834518053,431.9462487,1.927745905,433.7785707,0.1366193,529.3469208,-0.172323451,631.7182639,0.950462717,1218.270227,1.004151548,463.307406,481.5627458,924.9942453,434.2607735,485.2256958,795.9927109,417.0394316,464.1888051,660.1261457,558.7896067,422.8433097,561.2649735,721.2287131,440.4671432,609.5116889,679.2492642,457.7946395,622.8727275,1
830.3651754,-0.543122116,480.7595005,0.555904811,635.377202,0.208071039,483.9460081,0.221471472,507.2240446,0.484076973,876.4525053,0.803119605,655.562338,559.661605,691.838275,463.307406,481.5627458,924.9942453,434.2607735,485.2256958,795.9927109,417.0394316,464.1888051,660.1261457,558.7896067,422.8433097,561.2649735,721.2287131,440.4671432,609.5116889,1
551.1376261,-0.035513143,519.8939651,1.213686246,682.0096682,0.548630688,561.2365666,0.811865467,452.4877395,0.926383734,780.2737302,1.054620727,535.5157956,621.6231174,616.3807349,655.562338,559.661605,691.838275,463.307406,481.5627458,924.9942453,434.2607735,485.2256958,795.9927109,417.0394316,464.1888051,660.1261457,558.7896067,422.8433097,561.2649735,1
770.8937348,-0.799025522,946.3621173,0.443256404,692.3612135,1.815663046,391.760025,1.398890855,401.5552701,1.166701774,425.4813736,0.937361952,858.6279261,542.0606193,413.5183219,535.5157956,621.6231174,616.3807349,655.562338,559.661605,691.838275,463.307406,481.5627458,924.9942453,434.2607735,485.2256958,795.9927109,417.0394316,464.1888051,660.1261457,1
1111.730721,1.682898262,812.6990938,1.557144574,601.3887095,2.24202555,390.4345749,1.922206574,389.9293698,0.877047511,412.1047964,0.598560662,962.2149072,495.9116422,401.0170831,858.6279261,542.0606193,413.5183219,535.5157956,621.6231174,616.3807349,655.562338,559.661605,691.838275,463.307406,481.5627458,924.9942453,434.2607735,485.2256958,795.9927109,1
1127.714598,1.356060401,921.8341733,1.991961774,509.535291,1.066214322,379.6439232,1.893987854,369.9115293,0.612381555,415.3220805,0.334514157,1024.774386,444.5896071,392.6168049,962.2149072,495.9116422,401.0170831,858.6279261,542.0606193,413.5183219,535.5157956,621.6231174,616.3807349,655.562338,559.661605,691.838275,463.307406,481.5627458,924.9942453,1
1061.37781,2.036959304,898.8936418,2.124665083,562.3302193,1.667435375,347.1472156,1.641297394,375.1529683,1.350576343,405.5549544,0.961124756,980.1357257,454.7387174,390.3539614,1024.774386,444.5896071,392.6168049,962.2149072,495.9116422,401.0170831,858.6279261,542.0606193,413.5183219,535.5157956,621.6231174,616.3807349,655.562338,559.661605,691.838275,1
914.5344388,1.784511775,884.5590987,1.787005172,623.5701375,1.967355768,405.435519,1.396208163,410.2597231,1.774047692,438.1804263,1.034570543,899.5467688,514.5028283,424.2200747,980.1357257,454.7387174,390.3539614,1024.774386,444.5896071,392.6168049,962.2149072,495.9116422,401.0170831,858.6279261,542.0606193,413.5183219,535.5157956,621.6231174,616.3807349,1
900.1737439,0.253679506,621.6379335,0.046124452,401.3741514,1.044142742,297.3883826,1.385873728,342.7910369,0.725271421,376.8435697,0.578132757,760.9058387,349.381267,359.8173033,899.5467688,514.5028283,424.2200747,980.1357257,454.7387174,390.3539614,1024.774386,444.5896071,392.6168049,962.2149072,495.9116422,401.0170831,858.6279261,542.0606193,413.5183219,1
794.1119669,2.714875313,751.4336413,0.599902502,382.9864181,0.599079711,226.983209,0.368709809,384.6545674,-0.276062606,440.6781768,0.410197172,772.7728041,304.9848135,412.6663721,760.9058387,349.381267,359.8173033,899.5467688,514.5028283,424.2200747,980.1357257,454.7387174,390.3539614,1024.774386,444.5896071,392.6168049,962.2149072,495.9116422,401.0170831,1
1105.766281,1.96335003,748.9848036,1.330892633,470.6251013,-0.058337759,357.9537813,1.130327221,390.3026483,-0.255993187,493.6124007,0.818852794,927.3755423,414.2894413,441.9575245,772.7728041,304.9848135,412.6663721,760.9058387,349.381267,359.8173033,899.5467688,514.5028283,424.2200747,980.1357257,454.7387174,390.3539614,1024.774386,444.5896071,392.6168049,1
825.9723178,-1.419125894,715.430846,-1.241804489,537.5577574,-1.09146633,422.0023041,-0.881886179,405.6243998,-0.146228806,375.4449735,0.28496147,770.7015819,479.7800308,390.5346866,927.3755423,414.2894413,441.9575245,772.7728041,304.9848135,412.6663721,760.9058387,349.381267,359.8173033,899.5467688,514.5028283,424.2200747,980.1357257,454.7387174,390.3539614,1
563.8160235,-1.49609762,630.5352121,-1.25318797,431.149175,-0.447388229,426.4596664,-0.796945299,410.7193745,0.014267488,385.6319044,0.232497381,597.1756178,428.8044207,398.1756394,770.7015819,479.7800308,390.5346866,927.3755423,414.2894413,441.9575245,772.7728041,304.9848135,412.6663721,760.9058387,349.381267,359.8173033,899.5467688,514.5028283,424.2200747,1
699.1056406,-1.338120761,789.9054321,-1.337495256,690.6399337,-0.960698576,434.0792112,-1.010249109,455.9745077,-0.671040205,446.421063,-0.490131703,744.5055364,562.3595725,451.1977853,597.1756178,428.8044207,398.1756394,770.7015819,479.7800308,390.5346866,927.3755423,414.2894413,441.9575245,772.7728041,304.9848135,412.6663721,760.9058387,349.381267,359.8173033,1
680.0917866,-1.131862062,767.0954904,-1.515168897,777.0823333,-1.080814935,495.9837571,-0.401298856,411.9396439,0.13492151,414.7311075,-0.032329326,723.5936385,636.5330452,413.3353757,744.5055364,562.3595725,451.1977853,597.1756178,428.8044207,398.1756394,770.7015819,479.7800308,390.5346866,927.3755423,414.2894413,441.9575245,772.7728041,304.9848135,412.6663721,1
1093.52927,-0.92842339,837.2639053,-1.232462866,612.5166424,-0.975937332,530.3573762,-0.292817895,475.1686279,-0.03156422,441.1477345,0.470553817,965.3965876,571.4370093,458.1581812,723.5936385,636.5330452,413.3353757,744.5055364,562.3595725,451.1977853,597.1756178,428.8044207,398.1756394,770.7015819,479.7800308,390.5346866,927.3755423,414.2894413,441.9575245,1
1144.233155,-1.076722749,663.9184906,-0.906188389,481.8324638,-0.500399249,513.0362775,-0.539268678,461.2405495,0.223982236,532.5825628,0.458279728,904.0758228,497.4343706,496.9115561,965.3965876,571.4370093,458.1581812,723.5936385,636.5330452,413.3353757,744.5055364,562.3595725,451.1977853,597.1756178,428.8044207,398.1756394,770.7015819,479.7800308,390.5346866,1
1283.682593,-1.364182716,654.8272128,-0.933207136,651.9437428,-0.818194919,548.9883941,-0.475978443,476.7439663,0.462475243,697.4885144,0.810206836,969.2549027,600.4660684,587.1162403,904.0758228,497.4343706,496.9115561,965.3965876,571.4370093,458.1581812,723.5936385,636.5330452,413.3353757,744.5055364,562.3595725,451.1977853,597.1756178,428.8044207,398.1756394,1
702.519883,-0.977620293,450.446208,-1.113026368,605.6296784,-1.468438275,435.1748237,-0.006181763,339.3395332,-0.684239554,601.1519152,-0.050092524,576.4830455,520.402251,470.2457242,969.2549027,600.4660684,587.1162403,904.0758228,497.4343706,496.9115561,965.3965876,571.4370093,458.1581812,723.5936385,636.5330452,413.3353757,744.5055364,562.3595725,451.1977853,1
